P,D,C,MR,MF,MANSOOR,JACKSON,MITCHELL,HESKIA,GUNTHER,KILBRID,HAHN,ARC83,ARC111
15,10,10,0.2,3,0.021725025347587443,0.03147845321569836,-0.009111545118444898,-0.28047788465549345,0.07751190610050658,0.07131527938385612,0.060753443649904454,0.05496698120010918,0.0553054521136993
15,10,5,0.5,1,0.025048517988618266,0.028280461356602008,-0.004490496526000632,-0.3473048476900724,0.07805971101934697,0.07103036589416414,0.07061546720064381,0.05490234687612274,0.05529689958181295
10,15,5,0.5,3,0.021149992074464302,0.022307606559813606,-0.022356924683767453,-0.3548317965081556,0.08222555830891627,0.07411873082830087,0.07485514062354748,0.05517402292206982,0.05538409228483061
15,15,5,0.2,2,0.02504762506973169,0.016712221681910416,-0.01624571081474623,-0.36763345813765824,0.0814547555630111,0.07382022744524004,0.06311334030030787,0.05786903769175893,0.055414600807665075
15,5,10,0.7,1,0.052808201433846055,0.029293406100542294,0.030726131866449697,-0.041999560529633134,0.06366091101870436,0.059846954404436735,0.06701537795692712,0.056788556140655276,0.05314241968284322
10,10,15,0.7,1,0.03653093187463166,0.02383822379851665,0.008051102601363406,-0.2930715009593469,0.07207003578954395,0.06678467002525994,0.06797702300199254,0.05707109074435515,0.05516949746842641
10,5,5,0.7,2,0.06287592852890017,0.06205636751513664,0.10046421278954029,0.30696487267339756,0.040115582031558045,0.04514846470363549,0.048008255693641734,0.05255337369734672,0.056465274447445285
5,10,5,0.7,3,0.045382215401841855,0.06537727732926096,0.04974519323651861,0.15959702640506634,0.053918874169586,0.054154063276561616,0.0580618406152371,0.05586071180740976,0.054790210867866215
5,10,15,0.2,2,0.08349363361802731,0.09351312555470877,0.14544369085882644,0.5301035523673671,0.027829293274430317,0.03828255630186352,0.044597762732340784,0.054512041203046334,0.05639484674682664
5,15,15,0.5,1,0.052813632751092555,0.058991867259118404,0.04974679961015655,-0.0240363771472089,0.0586301313779371,0.05678458040182096,0.061585796643495797,0.05618768948845086,0.05497245489316569
10,5,15,0.2,3,0.07725278985740444,0.09353429765833687,0.10045782284355541,0.10169334644156826,0.04068069753962052,0.04514803057721239,0.05196213564019272,0.055203472813937095,0.056574060148872944
15,15,15,0.7,3,0.010247070625724611,0.005135835836131813,-0.04391099718661682,-0.5211497348167548,0.09171055976473266,0.0800829031764326,0.07000332533738993,0.05834801652567708,0.055555671703456946
5,5,5,0.2,1,0.18581392033833125,0.24766433938324178,0.351047342244506,1.7851105689906406,-0.05058751537108301,-0.014791511855954965,-0.008600204326885482,0.05001970168435878,0.055345034918763296
10,10,10,0.5,2,0.043314164584467484,0.024643249231472274,0.029148657295046003,-0.3237764653754841,0.06693155174828479,0.0630841664906765,0.06310817574728768,0.05680474871955346,0.055139630625691015
5,15,10,0.7,2,0.052817706918443556,0.014739550221017762,0.04540732025911794,0.024089322905216697,0.060268638813258724,0.0580624244922687,0.05954965981849175,0.05638824169180955,0.054988609635985376
5,5,10,0.5,3,0.10982617377023006,0.12675220487746025,0.14546223333864403,0.8490935208639395,0.023478930813246226,0.027024163654691843,0.0302456085121771,0.053489279453560835,0.055995924825740125
15,5,15,0.5,2,0.055810275397249046,0.026383894506056237,0.03236453506711509,0.012195511132049851,0.060530769022073404,0.06277022097321579,0.059705756604370885,0.05664445203276935,0.05693910297834802
10,15,10,0.2,1,0.03804219441940823,0.029297617914974657,0.008050632318736702,-0.2145660959594381,0.07150960901632583,0.06733370982631771,0.05744209424893674,0.05721623530700913,0.05712621626856098
