Problem,cycle time,result,num_stations,num_operators,time,Lower bound
MERTENS,6,5.75,4,6,0.09694480895996094,5
MERTENS,7,5.666666666666667,3,6,0.09396481513977051,5
MERTENS,8,5.666666666666667,3,6,0.1019430160522461,4
MERTENS,10,3.6666666666666665,3,4,0.08096742630004883,3
MERTENS,15,1.5,2,2,0.0679621696472168,2
MERTENS,18,1.5,2,2,0.0799565315246582,2
BOWMAN8,17,5.8,5,6,0.12692999839782715,5
BOWMAN8,21,4.75,4,5,0.09194827079772949,4
BOWMAN8,24,4.75,4,5,0.1019430160522461,4
BOWMAN8,28,4.75,4,5,0.08695149421691895,3
BOWMAN8,31,3.6666666666666665,3,4,0.07097721099853516,3
JAESCHKE,6,7.833333333333333,6,8,0.11595273017883301,7
JAESCHKE,7,6.833333333333333,6,7,0.10595560073852539,6
JAESCHKE,8,6.833333333333333,6,7,0.10593986511230469,5
JAESCHKE,10,5.8,5,6,0.09196138381958008,4
JAESCHKE,18,2.6666666666666665,3,3,0.08194971084594727,3
JACKSON,7,8.833333333333334,6,9,0.1689004898071289,7
JACKSON,9,6.8,5,7,0.16289520263671875,6
JACKSON,10,5.8,5,6,0.14893436431884766,5
JACKSON,13,4.666666666666667,3,5,0.13689517974853516,4
JACKSON,14,3.6666666666666665,3,4,0.1279287338256836,4
JACKSON,21,2.5,2,3,0.11693310737609863,3
MANSOOR,45,4.75,4,5,0.13092637062072754,5
MANSOOR,54,4.75,4,5,0.13292622566223145,4
MANSOOR,63,3.6666666666666665,3,4,0.12494826316833496,3
MANSOOR,72,2.5,2,3,0.11093854904174805,3
MANSOOR,81,2.5,2,3,0.1049346923828125,3
MITCHELL,14,12.9,10,13,0.24686217308044434,8
MITCHELL,15,9.88888888888889,9,10,0.23886322975158691,7
MITCHELL,21,5.8,5,6,0.22786593437194824,5
MITCHELL,26,4.75,4,5,0.22286367416381836,5
MITCHELL,35,3.6666666666666665,3,4,0.2258739471435547,3
MITCHELL,39,2.6666666666666665,3,3,0.21289420127868652,3
HESKIA,138,8.833333333333334,6,9,0.8395447731018066,8
HESKIA,205,5.75,4,6,0.7645587921142578,5
HESKIA,216,5.75,4,6,0.7675845623016357,5
HESKIA,256,4.666666666666667,3,5,0.7225723266601562,4
HESKIA,324,3.6666666666666665,3,4,0.7285611629486084,4
HESKIA,342,3.6666666666666665,3,4,0.7735483646392822,3
SAWYER30,25,14.88888888888889,9,15,0.6496191024780273,13
SAWYER30,27,14.88888888888889,9,15,0.6336588859558105,12
SAWYER30,30,13.88888888888889,9,14,0.5666964054107666,11
SAWYER30,36,10.857142857142858,7,11,0.5436961650848389,9
SAWYER30,41,9.833333333333334,6,10,0.5347013473510742,8
SAWYER30,54,6.75,4,7,0.5227248668670654,6
SAWYER30,75,4.666666666666667,3,5,0.4547288417816162,5
KILBRID,57,10.857142857142858,7,11,1.0544116497039795,10
KILBRID,79,7.8,5,8,1.0444343090057373,7
KILBRID,92,6.75,4,7,0.9974246025085449,6
KILBRID,110,5.75,4,6,0.9434723854064941,6
KILBRID,138,4.666666666666667,3,5,0.9364752769470215,4
KILBRID,184,3.6666666666666665,3,4,0.8565216064453125,3
TONGE70,176,24.9375,16,25,1.8069617748260498,20
TONGE70,364,10.833333333333334,6,11,1.5681371688842773,10
TONGE70,410,9.833333333333334,6,10,1.585111141204834,9
TONGE70,468,8.8,5,9,1.555114507675171,8
TONGE70,527,7.8,5,8,1.5421514511108398,7
ARC83,5048,18.916666666666668,12,19,1.3782172203063965,15
ARC83,5853,15.909090909090908,11,16,1.4681930541992188,13
ARC83,6842,12.875,8,13,1.347247838973999,12
ARC83,7571,11.875,8,12,1.391226053237915,10
ARC83,8412,9.857142857142858,7,10,1.36625337600708,9
ARC83,8998,9.833333333333334,6,10,1.5041780471801758,9
ARC83,10816,7.8,5,8,1.4551873207092285,7
ARC111,5755,32.94736842105263,19,33,3.8778347969055176,27
ARC111,8847,20.923076923076923,13,21,3.4311039447784424,17
ARC111,10027,17.9,10,18,3.198228120803833,15
ARC111,10743,15.88888888888889,9,16,3.3881163597106934,14
ARC111,11378,15.88888888888889,9,16,3.3001441955566406,14
ARC111,17067,9.857142857142858,7,10,3.404102325439453,9
